Date,New Cases Reported,Cases
2/25/2020,0,1
2/26/2020,0,1
2/27/2020,0,1
2/28/2020,0,1
2/29/2020,0,1
3/1/2020,0,1
3/2/2020,13,14
3/3/2020,16,30
3/4/2020,15,45
3/5/2020,21,66
3/6/2020,18,84
3/7/2020,29,113
3/8/2020,41,154
3/9/2020,90,244
3/10/2020,69,313
3/11/2020,61,374
3/12/2020,103,477
3/13/2020,92,569
3/14/2020,115,684
3/15/2020,126,810
3/16/2020,118,928
3/17/2020,161,1089
3/18/2020,133,1222
3/19/2020,202,1424
3/20/2020,135,1559
3/21/2020,180,1739
3/22/2020,283,2022
3/23/2020,230,2252
3/24/2020,276,2528
3/25/2020,338,2866
3/26/2020,523,3389
3/27/2020,628,4017
3/28/2020,437,4454
3/29/2020,121,4575
3/30/2020,649,5224
3/31/2020,481,5705
4/1/2020,421,6126
4/2/2020,433,6559
4/3/2020,431,6990
4/4/2020,410,7400
4/5/2020,398,7798
4/6/2020,311,8109
4/7/2020,314,8423
4/8/2020,392,8815
4/9/2020,317,9132
4/10/2020,453,9585
4/11/2020,245,9830
4/12/2020,271,10101
4/13/2020,245,10346
4/14/2020,206,10552
4/15/2020,324,10876
4/16/2020,285,11161
4/17/2020,325,11486
4/18/2020,274,11760
4/19/2020,240,12000
4/20/2020,251,12251
4/21/2020,217,12468
4/22/2020,212,12680
4/23/2020,276,12956
4/24/2020,255,13211
4/25/2020,277,13488
4/26/2020,219,13707
4/27/2020,155,13862
4/28/2020,208,14070
4/29/2020,281,14351
4/30/2020,330,14681
5/1/2020,327,15008
5/2/2020,250,15258
5/3/2020,304,15562
5/4/2020,137,15699
5/5/2020,277,15976
5/6/2020,335,16311
5/7/2020,190,16501
5/8/2020,274,16775
5/9/2020,238,17013
5/10/2020,230,17243
5/11/2020,146,17389
5/12/2020,162,17551
5/13/2020,242,17793
5/14/2020,213,18006
5/15/2020,316,18322
5/16/2020,161,18483
5/17/2020,195,18678
5/18/2020,170,18848
5/19/2020,173,19021
5/20/2020,123,19144
5/21/2020,199,19343
5/22/2020,289,19632
5/23/2020,236,19868
5/24/2020,265,20133
5/25/2020,163,20296
5/26/2020,139,20435
5/27/2020,318,20753
5/28/2020,305,21058
5/29/2020,316,21374
5/30/2020,239,21613
5/31/2020,383,21996
6/1/2020,197,22193
6/2/2020,262,22455
6/3/2020,204,22659
6/4/2020,352,23011
6/5/2020,425,23436
6/6/2020,141,23577
6/7/2020,416,23993
6/8/2020,329,24322
6/9/2020,244,24566
6/10/2020,209,24775
6/11/2020,237,25012
6/12/2020,469,25481
6/13/2020,181,25662
6/14/2020,428,26090
6/15/2020,393,26483
6/16/2020,233,26716
6/17/2020,367,27083
6/18/2020,502,27585
6/19/2020,548,28133
6/20/2020,283,28416
6/21/2020,399,28815
6/22/2020,421,29236
6/23/2020,498,29734
6/24/2020,534,30268
6/25/2020,522,30790
6/26/2020,527,31317
6/27/2020,315,31632
6/28/2020,387,32019
6/29/2020,702,32721
6/30/2020,541,33262
7/1/2020,738,34000
7/2/2020,739,34739
7/3/2020,454,35193
7/4/2020,239,35432
7/5/2020,1247,36679
7/6/2020,611,37290
7/7/2020,521,37811
7/8/2020,638,38449
7/9/2020,682,39131
7/10/2020,490,39621
7/11/2020,830,40451
