Date,Hospitalizations
2/25/2020,1092
2/26/2020,1094
2/27/2020,1105
2/28/2020,1114
2/29/2020,1121
3/1/2020,1129
3/2/2020,1150
3/3/2020,1162
3/4/2020,1176
3/5/2020,1203
3/6/2020,1226
3/7/2020,1245
3/8/2020,1263
3/9/2020,1288
3/10/2020,1318
3/11/2020,1355
3/12/2020,1395
3/13/2020,1421
3/14/2020,1457
3/15/2020,1496
3/16/2020,1548
3/17/2020,1585
3/18/2020,1632
3/19/2020,1682
3/20/2020,1738
3/21/2020,1787
3/22/2020,1829
3/23/2020,1919
3/24/2020,1984
3/25/2020,2048
3/26/2020,2130
3/27/2020,2203
3/28/2020,2281
3/29/2020,2359
3/30/2020,2454
3/31/2020,2513
4/1/2020,2588
4/2/2020,2669
4/3/2020,2744
4/4/2020,2803
4/5/2020,2866
4/6/2020,2916
4/7/2020,2979
4/8/2020,3034
4/9/2020,3098
4/10/2020,3157
4/11/2020,3200
4/12/2020,3232
4/13/2020,3273
4/14/2020,3315
4/15/2020,3363
4/16/2020,3408
4/17/2020,3453
4/18/2020,3486
4/19/2020,3526
4/20/2020,3561
4/21/2020,3604
4/22/2020,3642
4/23/2020,3676
4/24/2020,3708
4/25/2020,3751
4/26/2020,3787
4/27/2020,3812
4/28/2020,3839
4/29/2020,3880
4/30/2020,3900
5/1/2020,3927
5/2/2020,3958
5/3/2020,3972
5/4/2020,4003
5/5/2020,4029
5/6/2020,4060
5/7/2020,4081
5/8/2020,4110
5/9/2020,4133
5/10/2020,4158
5/11/2020,4183
5/12/2020,4203
5/13/2020,4223
5/14/2020,4245
5/15/2020,4266
5/16/2020,4283
5/17/2020,4299
5/18/2020,4320
5/19/2020,4348
5/20/2020,4372
5/21/2020,4393
5/22/2020,4417
5/23/2020,4443
5/24/2020,4468
5/25/2020,4503
5/26/2020,4522
5/27/2020,4551
5/28/2020,4575
5/29/2020,4597
5/30/2020,4615
5/31/2020,4633
6/1/2020,4658
6/2/2020,4674
6/3/2020,4693
6/4/2020,4711
6/5/2020,4740
6/6/2020,4755
6/7/2020,4786
6/8/2020,4816
6/9/2020,4846
6/10/2020,4866
6/11/2020,4887
6/12/2020,4904
6/13/2020,4933
6/14/2020,4953
6/15/2020,4987
6/16/2020,5021
6/17/2020,5050
6/18/2020,5069
6/19/2020,5100
6/20/2020,5126
6/21/2020,5151
6/22/2020,5186
6/23/2020,5220
6/24/2020,5257
6/25/2020,5285
6/26/2020,5325
6/27/2020,5365
6/28/2020,5395
6/29/2020,5425
6/30/2020,5472
7/1/2020,5497
7/2/2020,5528
7/3/2020,5560
7/4/2020,5587
7/5/2020,5612
7/6/2020,5655
7/7/2020,5700
7/8/2020,5735
7/9/2020,5768
7/10/2020,5803
7/11/2020,5840
7/12/2020,5875
7/13/2020,5929
7/14/2020,5974
7/15/2020,6009
7/16/2020,6046
7/17/2020,6091
7/18/2020,6134
7/19/2020,6180
7/20/2020,6230
7/21/2020,6274
7/22/2020,6327
7/23/2020,6360
7/24/2020,6398
7/25/2020,6435
7/26/2020,6479
7/27/2020,6530
7/28/2020,6569
7/29/2020,6613
7/30/2020,6666
7/31/2020,6716
8/1/2020,6754
8/2/2020,6787
8/3/2020,6832
8/4/2020,6884
8/5/2020,6926
8/6/2020,6964
8/7/2020,7003
8/8/2020,7048
8/9/2020,7074
8/10/2020,7124
8/11/2020,7165
8/12/2020,7193
8/13/2020,7230
8/14/2020,7272
8/15/2020,7301
8/16/2020,7331
8/17/2020,7381
8/18/2020,7412
8/19/2020,7447
8/20/2020,7488
8/21/2020,7511
8/22/2020,7530
8/23/2020,7554
8/24/2020,7595
8/25/2020,7621
8/26/2020,7648
8/27/2020,7677
8/28/2020,7702
8/29/2020,7725
8/30/2020,7743
8/31/2020,7764
9/1/2020,7791
9/2/2020,7820
9/3/2020,7841
9/4/2020,7854
9/5/2020,7887
9/6/2020,7910
9/7/2020,7944
9/8/2020,7968
9/9/2020,7990
