Date,Vaccines
12/15/2020,20
12/16/2020,1595
12/17/2020,4417
12/18/2020,12481
12/19/2020,18331
12/20/2020,22357
12/21/2020,29475
12/22/2020,36193
12/23/2020,44141
12/24/2020,49704
12/25/2020,49989
12/26/2020,56526
12/27/2020,61265
12/28/2020,70915
12/29/2020,84666
12/30/2020,98804
12/31/2020,108600
1/1/2021,110255
1/2/2021,120154
1/3/2021,125490
1/4/2021,136182
1/5/2021,148726
1/6/2021,165798
1/7/2021,184122
1/8/2021,205354
1/9/2021,219551
1/10/2021,228452
1/11/2021,245868
1/12/2021,265597
1/13/2021,287097
1/14/2021,310759
1/15/2021,334586
1/16/2021,356541
1/17/2021,366596
1/18/2021,386404
1/19/2021,413553
1/20/2021,447142
1/21/2021,486011
1/22/2021,526274
1/23/2021,562274
1/24/2021,582723
1/25/2021,611079
1/26/2021,650573
1/27/2021,688798
1/28/2021,726923
1/29/2021,766000
1/30/2021,800797
1/31/2021,820596
2/1/2021,848326
2/2/2021,883129
2/3/2021,922247
2/4/2021,964619
2/5/2021,1005268
2/6/2021,1038338
2/7/2021,1049185
2/8/2021,1075985
2/9/2021,1112047
2/10/2021,1154720
2/11/2021,1204679
2/12/2021,1250737
2/13/2021,1265890
2/14/2021,1272822
2/15/2021,1304669
2/16/2021,1344397
2/17/2021,1383521
2/18/2021,1425346
2/19/2021,1458015
2/20/2021,1489365
2/21/2021,1504993
2/22/2021,1523832
2/23/2021,1567614
2/24/2021,1622993
2/25/2021,1690630
2/26/2021,1761109
2/27/2021,1830558
2/28/2021,1860011
3/1/2021,1896322
3/2/2021,1955668
3/3/2021,2019722
3/4/2021,2090300
3/5/2021,2156948
3/6/2021,2218674
3/7/2021,2244961
3/8/2021,2280042
3/9/2021,2334757
3/10/2021,2393644
3/11/2021,2455553
3/12/2021,2521823
3/13/2021,2588345
3/14/2021,2612587
3/15/2021,2649114
3/16/2021,2700976
3/17/2021,2764756
3/18/2021,2834297
3/19/2021,2901926
3/20/2021,2972510
3/21/2021,2998028
3/22/2021,3036297
3/23/2021,3099047
3/24/2021,3173727
3/25/2021,3251795
3/26/2021,3336150
